VmhNames,MetNames,MetaNetX,CHEBI,HMDB,SwissLipids,VMH,InChIkey,InChIkey2D
3ddcrn,3-hydroxydodecanoylcarnitine,MNXM150910,73056,HMDB0061638,,3ddcrn,ULWDPUHFMOBGFJ-UHFFFAOYSA-N,ULWDPUHFMOBGFJ
3ddecdicoa,"(3Z,6Z)-dodecadienoyl-CoA",MNXM1106027,28002,HMDB0003952,,3ddecdicoa,KEPSPLQXVPROMK-ASJCJLDXSA-N,KEPSPLQXVPROMK
3deccrn,3-hydroxydecanoylcarnitine,MNXM729381,73051,,,3deccrn,XZARHVHXYGIXLB-UHFFFAOYSA-N,XZARHVHXYGIXLB
3decdicoa,"3,7-decadienoylcoa",MNXM1529737,,,,3decdicoa,PCKVSONOTLJORL-VRCJAPGKSA-J,PCKVSONOTLJORL
3dhcdchol,3-Dehydrochenodeoxycholate,MNXM1547069,,,,3dhcdchol,,
3dhchol,(2S)-2-isopropyl-3-oxosuccinate,MNXM1602,17214,HMDB0012149,,3c4mop,HIIZAGQWABAMRR-BYPYZUCNSA-L,HIIZAGQWABAMRR
3dhdchol,3-dehydro-Deoxycholate,MNXM1547070,,,,3dhdchol,,
3dhguln,3-dehydro-L-gulonate,MNXM1375439,57655,HMDB0006334,,3dhguln,WTAHRPBPWHCMHW-LWKDLAHASA-M,WTAHRPBPWHCMHW
3dhlchol,3-dehydro-Lithocholate,MNXM1547071,,,,3dhlchol,,
3docopencoa,"3,7,10,13,16-docosapentenoylcoa",MNXM1529738,,,,3docopencoa,UFAUHGAQSSJIOU-MVLYPPGJSA-J,UFAUHGAQSSJIOU
3dodtricoa,"3,6,9-dodecatrienoylcoa",MNXM1529739,,,,3dodtricoa,YCCKLKCLFHVHRH-NLIPLPHISA-J,YCCKLKCLFHVHRH
3dpdhb,"3,4-dihydroxy-5-all-trans-decaprenylbenzoate",MNXM737269,62793,HMDB0060249,,3dpdhb,HGWUGDIATLOPBN-BHZQGFRMSA-M,HGWUGDIATLOPBN
3dpdhb_me,3-methoxy-4-hydroxy-5-all-trans-decaprenylbenzoate,MNXM738089,62796,HMDB0060252,,3dpdhb_me,WCQCNOIKXGNDLX-RDSVHMIISA-M,WCQCNOIKXGNDLX
